metric,noun,verb,vote,user_id
comprehensibility,アリ,Xがこぼれる,0,75d47cae73b15afa309ff3dd820c50185704d09a741f903ca87d7740fd076b49
comprehensibility,アリ,Xがこぼれる,0,d79427dcdb916ce114c8cf396b2dd6df0781bc0d739e0da6dcd481c1f31d88fe
comprehensibility,アリ,Xがこぼれる,1,f2b3c8500235edcc6a8c1772450552177fda41946461ee1f65c95d66d9996dc2
comprehensibility,アリ,Xがこぼれる,3,c3f27aaf6e7628de4f0763d44cf573a9d75be58e714279f01043a8325ca6a659
comprehensibility,アリ,Xがこぼれる,1,e98bd16243cfc0b42acaecaba48998ebb11a1b18d526a17b3ce133184495055e
comprehensibility,アリ,Xがこぼれる,0,782b2474b224cdc0d76e5e4b8e93324de0cb000f8f1a518d8ee03561e044c0e4
comprehensibility,アリ,Xがこぼれる,2,0d42ee7db75a4d941ce77bf810d60f7ef6326badf12256ea3a44a228d869c193
comprehensibility,アリ,Xがこぼれる,0,d2d406220d07878118263d458ff2154e0fd0d5d070e2c3d554cbaccd9f108baa
comprehensibility,アリ,Xがほとばしる,0,bf05fd207840de648d220bce6ec216036140ec4ea0a736afe4f1941db76fa915
comprehensibility,アリ,Xがほとばしる,0,4b62546d82e984d02b8fa12c208faf0db3c816d4cb85d79d9b131ba958f34dbb
comprehensibility,アリ,Xがほとばしる,0,9bbb747cef6c40379533ecfc1531d2c25ac1052e241f8101cb5ab680cd81fc35
comprehensibility,アリ,Xがほとばしる,0,69fbb75ca425dadc00032986a41eff280d20d1fc06bd125fc77dd9bfeedbeaea
comprehensibility,アリ,Xがほとばしる,0,1b8a26cec6c53c5e000fb130756c9d053d8ddac43563d379a769479fa7b1cbb2
comprehensibility,アリ,Xがほとばしる,1,18d30a691363a2ab6686041eb656636f1e9284065f2ccecf579d73fdc42f359f
comprehensibility,アリ,Xがほとばしる,0,9adfd9fa48fec7694b84719a3a71a117a9b7d7d42d08b101759dcfd675faae6c
comprehensibility,アリ,Xがほとばしる,0,161b10803e62f9c62c852a015994265abbb20d0b17a2c38feb3d8b3e61e24d17
comprehensibility,アリ,Xがほとばしる,1,e5d371e35e2c45b0bd4f79095f94307ff5c1dad9a3cf2fba560365b9544597c6
comprehensibility,アリ,Xがほとばしる,1,002d60e3ad407bab0c146f1c6d2ded85f68749427a6262111ed100201b6aba29
comprehensibility,アリ,Xを啜る,0,393dea34fd5ca62a3f372f90e68f17013ecf8418f34320d702520f021071c569
comprehensibility,アリ,Xを啜る,2,a2d56bbf042bdc4a2b7661183312444bab87733f2ff6b7afdc4df27267cbd7f2
comprehensibility,アリ,Xを啜る,1,d14c24a4ae9369abe85ba056503391ace6c105aed3ec8bb013ed4a552b75a7d4
comprehensibility,アリ,Xを啜る,0,a8c78788ebef66e89ec63cb3bdfe6ab7f2a06de507e9ff95d1562220996521c6
comprehensibility,アリ,Xを啜る,2,432a14895d0f90af5c5d4c17081760bf6ab60baae61a37a9de852a3fe974d5a7
comprehensibility,アリ,Xを啜る,2,10daa284754eb6d4c87fbcceab7492cf7a84a3292bd5e63f9a27b07ee52c2883
comprehensibility,アリ,Xを啜る,0,05d4a15eb6edf5d9292c7762cb43fcdb13c3152e5d506b52b3fdf50e23468165
comprehensibility,アリ,Xを啜る,0,21ec246b510a47fb7cccbbebb1915ea2f73a4acd3449f211110047e9890614e1
comprehensibility,アリ,Xを啜る,0,77d9a081dc1ca4c82d3e4f7b8a72263f31966de0049cb5c61cb165e59aaefffb
comprehensibility,アリ,Xを啜る,0,4d5ca461ed66f4e3d90d1fa64b26e772a28bf6e94fcc60ab7b8532ec60dc3803
comprehensibility,アリ,Xを垂らす,2,bf05fd207840de648d220bce6ec216036140ec4ea0a736afe4f1941db76fa915
comprehensibility,アリ,Xを垂らす,0,4b62546d82e984d02b8fa12c208faf0db3c816d4cb85d79d9b131ba958f34dbb
comprehensibility,アリ,Xを垂らす,3,69fbb75ca425dadc00032986a41eff280d20d1fc06bd125fc77dd9bfeedbeaea
comprehensibility,アリ,Xを垂らす,3,161b10803e62f9c62c852a015994265abbb20d0b17a2c38feb3d8b3e61e24d17
comprehensibility,アリ,Xを垂らす,1,002d60e3ad407bab0c146f1c6d2ded85f68749427a6262111ed100201b6aba29
comprehensibility,アリ,Xを垂らす,1,1b8a26cec6c53c5e000fb130756c9d053d8ddac43563d379a769479fa7b1cbb2
comprehensibility,アリ,Xを垂らす,0,9bbb747cef6c40379533ecfc1531d2c25ac1052e241f8101cb5ab680cd81fc35
comprehensibility,アリ,Xを垂らす,3,18d30a691363a2ab6686041eb656636f1e9284065f2ccecf579d73fdc42f359f
comprehensibility,アリ,Xを垂らす,0,e5d371e35e2c45b0bd4f79095f94307ff5c1dad9a3cf2fba560365b9544597c6
comprehensibility,アリ,Xを垂らす,1,9adfd9fa48fec7694b84719a3a71a117a9b7d7d42d08b101759dcfd675faae6c
comprehensibility,アリ,Xを搾り出す,0,5465d59403bc309c58d94eb2617833efcaabe581e70af4a5a5ca639e70308edb
comprehensibility,アリ,Xを搾り出す,2,8791d8a43a3720f9ab9cd1c911bf83f0cae097ce1d6e51ac3be1b5d501afbf12
comprehensibility,アリ,Xを搾り出す,0,f9f9b7b4257b102d1d7a8087a91832cd42b7066775d87030f4176273cd8db167
comprehensibility,アリ,Xを搾り出す,1,9686f114309533f77ff850164bb2985f620436406d7cc5fa1be9221b946980a9
comprehensibility,アリ,Xを搾り出す,0,e3652386104e2bf60d57d32e187ddfaf13f23872416764d16d3854ad9c49d598
comprehensibility,アリ,Xを搾り出す,1,96f6b0f4c07aea1a759d2d8063abcac61db5b269b189cf1c70c048b30819e428
comprehensibility,アリ,Xを搾り出す,0,ff2e85b7caff5ef5dddd70d4c229145dfd3f65de65675edd05392933b497fd95
comprehensibility,アリ,Xを搾り出す,0,949ac2e5e87f9b0a104991b24ec4e369c3885e0bbfcef4f25b7f34c8c5bd5840
comprehensibility,アリ,Xを搾り出す,3,c2f36701d5adebaad133dfce8b46b7de22072d3fa8fd2ad16c0d41af105f5de8
comprehensibility,アリ,Xを搾り出す,0,88548422b6d3bef3797bf26de08c6f8fb879601c6c43936fedd2d4e072115643
comprehensibility,アリ,Xを撒く,3,ee1325372c1ae4c4279ecd629d2c9df2af041d3722cbdea28fa3d21f40b4921c
comprehensibility,アリ,Xを撒く,3,76cc4e2eb02ad3f7a9c2b3ab977574ed4b17f3369fa955f4380c7fe8ee8f46d8
comprehensibility,アリ,Xを撒く,3,f620022093bf2d0bb888da6b66f7e33cf75db6f3f1a9c7b966afcdb5e0838512
comprehensibility,アリ,Xを撒く,0,d96bd6b8487a69b9b290a831e636ab15be7e2aa1295de911cd7053e19941969a
comprehensibility,アリ,Xを撒く,4,389182098519b9a0916e51211b01d577037f3dadf291d19526cddbdfb669ded6
comprehensibility,アリ,Xを撒く,1,0a25f25d8e6a6382015ae106190332737c9edabb9b706cc144759352aedc7ddf
comprehensibility,アリ,Xを撒く,0,a77e2862e4443aeb98bec2d1449ad394ec91095469cb6c2f522ef559a306d111
comprehensibility,アリ,Xを撒く,4,ad39068a9c7a770af17e8eac1a11cbccc909f4fc9d2227eeef1c2790f9c88bc7
comprehensibility,アリ,Xを撒く,0,b3f75f27cc642faa28f086b304f23904be5f0cbd57f21f6bb7502130cbfd9555
comprehensibility,アリ,Xを撒く,2,822464670148322945198b08c6dd3d3fc08dc5367335117dc036d1e77ca4b064
comprehensibility,アリ,Xを撒き散らす,0,d2d406220d07878118263d458ff2154e0fd0d5d070e2c3d554cbaccd9f108baa
comprehensibility,アリ,Xを撒き散らす,1,0d42ee7db75a4d941ce77bf810d60f7ef6326badf12256ea3a44a228d869c193
comprehensibility,アリ,Xを撒き散らす,1,e98bd16243cfc0b42acaecaba48998ebb11a1b18d526a17b3ce133184495055e
comprehensibility,アリ,Xを撒き散らす,4,c3f27aaf6e7628de4f0763d44cf573a9d75be58e714279f01043a8325ca6a659
comprehensibility,アリ,Xを撒き散らす,1,99de07fa243386a4268c8288fd15a80c84eec5cfacf584cda0a3ac17033e162b
comprehensibility,アリ,Xを撒き散らす,3,d79427dcdb916ce114c8cf396b2dd6df0781bc0d739e0da6dcd481c1f31d88fe
comprehensibility,アリ,Xを撒き散らす,2,f2b3c8500235edcc6a8c1772450552177fda41946461ee1f65c95d66d9996dc2
comprehensibility,アリ,Xを撒き散らす,0,782b2474b224cdc0d76e5e4b8e93324de0cb000f8f1a518d8ee03561e044c0e4
comprehensibility,アリ,Xを撒き散らす,3,076cc1ca859fb33d316008fa6b30cc57009496bcbaec981b62dec16cd146fca2
comprehensibility,アリ,Xを撒き散らす,0,75d47cae73b15afa309ff3dd820c50185704d09a741f903ca87d7740fd076b49
comprehensibility,アリ,Xを汲み取る,1,10daa284754eb6d4c87fbcceab7492cf7a84a3292bd5e63f9a27b07ee52c2883
comprehensibility,アリ,Xを汲み取る,3,05d4a15eb6edf5d9292c7762cb43fcdb13c3152e5d506b52b3fdf50e23468165
comprehensibility,アリ,Xを汲み取る,2,21ec246b510a47fb7cccbbebb1915ea2f73a4acd3449f211110047e9890614e1
comprehensibility,アリ,Xを汲み取る,1,77d9a081dc1ca4c82d3e4f7b8a72263f31966de0049cb5c61cb165e59aaefffb
comprehensibility,アリ,Xを汲み取る,3,4d5ca461ed66f4e3d90d1fa64b26e772a28bf6e94fcc60ab7b8532ec60dc3803
comprehensibility,アリ,Xを汲み取る,0,a8c78788ebef66e89ec63cb3bdfe6ab7f2a06de507e9ff95d1562220996521c6
comprehensibility,アリ,Xを汲み取る,0,432a14895d0f90af5c5d4c17081760bf6ab60baae61a37a9de852a3fe974d5a7
comprehensibility,アリ,Xを汲み取る,0,d14c24a4ae9369abe85ba056503391ace6c105aed3ec8bb013ed4a552b75a7d4
comprehensibility,アリ,Xを汲み取る,0,393dea34fd5ca62a3f372f90e68f17013ecf8418f34320d702520f021071c569
comprehensibility,アリ,Xを汲み取る,1,a2d56bbf042bdc4a2b7661183312444bab87733f2ff6b7afdc4df27267cbd7f2
comprehensibility,アリ,Xに沈む,3,e4a5cac7fe9b29f135190bfc734d400a273c481a16b3c7b2ab10b4f3374d035a
comprehensibility,アリ,Xに沈む,0,8512557d532727899b818106b2ec59bd7b27ee4bf8cd1330e6bedd82a4536955
comprehensibility,アリ,Xに沈む,1,e79411423012b76d0c916a7613107fc0bc3f9e9271653b011df52ede65dc7d69
comprehensibility,アリ,Xに沈む,0,52fdddf668e52e79e4fea45a90e26fe89c089a90b85a04f886484d5e3e7c0847
comprehensibility,アリ,Xに沈む,2,6ebaa61f43c96d43dcae150164662be4a5ac3b0f576bad366b88e34f9dbe116e
comprehensibility,アリ,Xに沈む,2,14013ca0941288bcfa9f959cdb4c799a38b34361b58696ebc571aa2d6a949e61
comprehensibility,アリ,Xに沈む,1,5f953233efe3dccfb4681990f6aa18791d02d634d1f9b70b041e4aaaa0002e63
comprehensibility,アリ,Xに沈む,0,864117edf18cb7ec1b73281613326d64c286c3ad9ef215848919fa9cc5f08863
comprehensibility,アリ,Xに沈む,0,4610d3b23c8c9da69be014a3c85dc8aa637a3813edcced691eabbc28cde0e72f
comprehensibility,アリ,Xに沈む,1,fbec0ec426d14495a5206cb9cc4d617a087d5174c34807c9f2490479be09bd3b
comprehensibility,アリ,Xが沸騰する,0,393dea34fd5ca62a3f372f90e68f17013ecf8418f34320d702520f021071c569
comprehensibility,アリ,Xが沸騰する,0,a2d56bbf042bdc4a2b7661183312444bab87733f2ff6b7afdc4df27267cbd7f2
comprehensibility,アリ,Xが沸騰する,0,d14c24a4ae9369abe85ba056503391ace6c105aed3ec8bb013ed4a552b75a7d4
comprehensibility,アリ,Xが沸騰する,0,a8c78788ebef66e89ec63cb3bdfe6ab7f2a06de507e9ff95d1562220996521c6
comprehensibility,アリ,Xが沸騰する,3,432a14895d0f90af5c5d4c17081760bf6ab60baae61a37a9de852a3fe974d5a7
comprehensibility,アリ,Xが沸騰する,1,10daa284754eb6d4c87fbcceab7492cf7a84a3292bd5e63f9a27b07ee52c2883
comprehensibility,アリ,Xが沸騰する,0,05d4a15eb6edf5d9292c7762cb43fcdb13c3152e5d506b52b3fdf50e23468165
comprehensibility,アリ,Xが沸騰する,0,21ec246b510a47fb7cccbbebb1915ea2f73a4acd3449f211110047e9890614e1
comprehensibility,アリ,Xが沸騰する,0,77d9a081dc1ca4c82d3e4f7b8a72263f31966de0049cb5c61cb165e59aaefffb
comprehensibility,アリ,Xが沸騰する,0,4d5ca461ed66f4e3d90d1fa64b26e772a28bf6e94fcc60ab7b8532ec60dc3803
comprehensibility,アリ,Xを注ぐ,0,ad39068a9c7a770af17e8eac1a11cbccc909f4fc9d2227eeef1c2790f9c88bc7
comprehensibility,アリ,Xを注ぐ,1,ee1325372c1ae4c4279ecd629d2c9df2af041d3722cbdea28fa3d21f40b4921c
comprehensibility,アリ,Xを注ぐ,2,389182098519b9a0916e51211b01d577037f3dadf291d19526cddbdfb669ded6
comprehensibility,アリ,Xを注ぐ,0,d96bd6b8487a69b9b290a831e636ab15be7e2aa1295de911cd7053e19941969a
comprehensibility,アリ,Xを注ぐ,0,a77e2862e4443aeb98bec2d1449ad394ec91095469cb6c2f522ef559a306d111
comprehensibility,アリ,Xを注ぐ,0,b3f75f27cc642faa28f086b304f23904be5f0cbd57f21f6bb7502130cbfd9555
comprehensibility,アリ,Xを注ぐ,0,76cc4e2eb02ad3f7a9c2b3ab977574ed4b17f3369fa955f4380c7fe8ee8f46d8
comprehensibility,アリ,Xを注ぐ,1,f620022093bf2d0bb888da6b66f7e33cf75db6f3f1a9c7b966afcdb5e0838512
comprehensibility,アリ,Xを注ぐ,1,822464670148322945198b08c6dd3d3fc08dc5367335117dc036d1e77ca4b064
comprehensibility,アリ,Xを注ぐ,2,0a25f25d8e6a6382015ae106190332737c9edabb9b706cc144759352aedc7ddf
comprehensibility,アリ,Xが流れる,4,c2f36701d5adebaad133dfce8b46b7de22072d3fa8fd2ad16c0d41af105f5de8
comprehensibility,アリ,Xが流れる,1,8791d8a43a3720f9ab9cd1c911bf83f0cae097ce1d6e51ac3be1b5d501afbf12
comprehensibility,アリ,Xが流れる,1,88548422b6d3bef3797bf26de08c6f8fb879601c6c43936fedd2d4e072115643
comprehensibility,アリ,Xが流れる,2,949ac2e5e87f9b0a104991b24ec4e369c3885e0bbfcef4f25b7f34c8c5bd5840
comprehensibility,アリ,Xが流れる,1,96f6b0f4c07aea1a759d2d8063abcac61db5b269b189cf1c70c048b30819e428
comprehensibility,アリ,Xが流れる,3,9686f114309533f77ff850164bb2985f620436406d7cc5fa1be9221b946980a9
comprehensibility,アリ,Xが流れる,1,e3652386104e2bf60d57d32e187ddfaf13f23872416764d16d3854ad9c49d598
comprehensibility,アリ,Xが流れる,0,ff2e85b7caff5ef5dddd70d4c229145dfd3f65de65675edd05392933b497fd95
comprehensibility,アリ,Xが流れる,0,5465d59403bc309c58d94eb2617833efcaabe581e70af4a5a5ca639e70308edb
comprehensibility,アリ,Xが流れる,2,f9f9b7b4257b102d1d7a8087a91832cd42b7066775d87030f4176273cd8db167
comprehensibility,アリ,Xが流れ出る,1,5f953233efe3dccfb4681990f6aa18791d02d634d1f9b70b041e4aaaa0002e63
comprehensibility,アリ,Xが流れ出る,3,14013ca0941288bcfa9f959cdb4c799a38b34361b58696ebc571aa2d6a949e61
comprehensibility,アリ,Xが流れ出る,3,e4a5cac7fe9b29f135190bfc734d400a273c481a16b3c7b2ab10b4f3374d035a
comprehensibility,アリ,Xが流れ出る,0,4610d3b23c8c9da69be014a3c85dc8aa637a3813edcced691eabbc28cde0e72f
comprehensibility,アリ,Xが流れ出る,0,8512557d532727899b818106b2ec59bd7b27ee4bf8cd1330e6bedd82a4536955
comprehensibility,アリ,Xが流れ出る,3,52fdddf668e52e79e4fea45a90e26fe89c089a90b85a04f886484d5e3e7c0847
comprehensibility,アリ,Xが流れ出る,4,6ebaa61f43c96d43dcae150164662be4a5ac3b0f576bad366b88e34f9dbe116e
comprehensibility,アリ,Xが流れ出る,1,e79411423012b76d0c916a7613107fc0bc3f9e9271653b011df52ede65dc7d69
comprehensibility,アリ,Xが流れ出る,1,fbec0ec426d14495a5206cb9cc4d617a087d5174c34807c9f2490479be09bd3b
comprehensibility,アリ,Xが流れ出る,0,864117edf18cb7ec1b73281613326d64c286c3ad9ef215848919fa9cc5f08863
comprehensibility,アリ,Xに浮く,1,e4a5cac7fe9b29f135190bfc734d400a273c481a16b3c7b2ab10b4f3374d035a
comprehensibility,アリ,Xに浮く,1,6ebaa61f43c96d43dcae150164662be4a5ac3b0f576bad366b88e34f9dbe116e
comprehensibility,アリ,Xに浮く,0,864117edf18cb7ec1b73281613326d64c286c3ad9ef215848919fa9cc5f08863
comprehensibility,アリ,Xに浮く,1,5f953233efe3dccfb4681990f6aa18791d02d634d1f9b70b041e4aaaa0002e63
comprehensibility,アリ,Xに浮く,2,fbec0ec426d14495a5206cb9cc4d617a087d5174c34807c9f2490479be09bd3b
comprehensibility,アリ,Xに浮く,2,14013ca0941288bcfa9f959cdb4c799a38b34361b58696ebc571aa2d6a949e61
comprehensibility,アリ,Xに浮く,1,e79411423012b76d0c916a7613107fc0bc3f9e9271653b011df52ede65dc7d69
comprehensibility,アリ,Xに浮く,0,8512557d532727899b818106b2ec59bd7b27ee4bf8cd1330e6bedd82a4536955
comprehensibility,アリ,Xに浮く,0,4610d3b23c8c9da69be014a3c85dc8aa637a3813edcced691eabbc28cde0e72f
comprehensibility,アリ,Xに浮く,0,52fdddf668e52e79e4fea45a90e26fe89c089a90b85a04f886484d5e3e7c0847
comprehensibility,アリ,Xを浴びせる,1,ee1325372c1ae4c4279ecd629d2c9df2af041d3722cbdea28fa3d21f40b4921c
comprehensibility,アリ,Xを浴びせる,0,ad39068a9c7a770af17e8eac1a11cbccc909f4fc9d2227eeef1c2790f9c88bc7
comprehensibility,アリ,Xを浴びせる,0,d96bd6b8487a69b9b290a831e636ab15be7e2aa1295de911cd7053e19941969a
comprehensibility,アリ,Xを浴びせる,1,822464670148322945198b08c6dd3d3fc08dc5367335117dc036d1e77ca4b064
comprehensibility,アリ,Xを浴びせる,0,a77e2862e4443aeb98bec2d1449ad394ec91095469cb6c2f522ef559a306d111
comprehensibility,アリ,Xを浴びせる,4,389182098519b9a0916e51211b01d577037f3dadf291d19526cddbdfb669ded6
comprehensibility,アリ,Xを浴びせる,0,76cc4e2eb02ad3f7a9c2b3ab977574ed4b17f3369fa955f4380c7fe8ee8f46d8
comprehensibility,アリ,Xを浴びせる,1,f620022093bf2d0bb888da6b66f7e33cf75db6f3f1a9c7b966afcdb5e0838512
comprehensibility,アリ,Xを浴びせる,1,0a25f25d8e6a6382015ae106190332737c9edabb9b706cc144759352aedc7ddf
comprehensibility,アリ,Xを浴びせる,0,b3f75f27cc642faa28f086b304f23904be5f0cbd57f21f6bb7502130cbfd9555
comprehensibility,アリ,Xに浸す,1,18d30a691363a2ab6686041eb656636f1e9284065f2ccecf579d73fdc42f359f
comprehensibility,アリ,Xに浸す,0,9bbb747cef6c40379533ecfc1531d2c25ac1052e241f8101cb5ab680cd81fc35
comprehensibility,アリ,Xに浸す,0,002d60e3ad407bab0c146f1c6d2ded85f68749427a6262111ed100201b6aba29
comprehensibility,アリ,Xに浸す,1,1b8a26cec6c53c5e000fb130756c9d053d8ddac43563d379a769479fa7b1cbb2
comprehensibility,アリ,Xに浸す,0,69fbb75ca425dadc00032986a41eff280d20d1fc06bd125fc77dd9bfeedbeaea
comprehensibility,アリ,Xに浸す,2,161b10803e62f9c62c852a015994265abbb20d0b17a2c38feb3d8b3e61e24d17
comprehensibility,アリ,Xに浸す,0,e5d371e35e2c45b0bd4f79095f94307ff5c1dad9a3cf2fba560365b9544597c6
comprehensibility,アリ,Xに浸す,0,bf05fd207840de648d220bce6ec216036140ec4ea0a736afe4f1941db76fa915
comprehensibility,アリ,Xに浸す,0,9adfd9fa48fec7694b84719a3a71a117a9b7d7d42d08b101759dcfd675faae6c
comprehensibility,アリ,Xに浸す,0,4b62546d82e984d02b8fa12c208faf0db3c816d4cb85d79d9b131ba958f34dbb
comprehensibility,アリ,Xに浸る,0,b3f75f27cc642faa28f086b304f23904be5f0cbd57f21f6bb7502130cbfd9555
comprehensibility,アリ,Xに浸る,0,ad39068a9c7a770af17e8eac1a11cbccc909f4fc9d2227eeef1c2790f9c88bc7
comprehensibility,アリ,Xに浸る,1,0a25f25d8e6a6382015ae106190332737c9edabb9b706cc144759352aedc7ddf
comprehensibility,アリ,Xに浸る,0,f620022093bf2d0bb888da6b66f7e33cf75db6f3f1a9c7b966afcdb5e0838512
comprehensibility,アリ,Xに浸る,0,d96bd6b8487a69b9b290a831e636ab15be7e2aa1295de911cd7053e19941969a
comprehensibility,アリ,Xに浸る,0,76cc4e2eb02ad3f7a9c2b3ab977574ed4b17f3369fa955f4380c7fe8ee8f46d8
comprehensibility,アリ,Xに浸る,1,ee1325372c1ae4c4279ecd629d2c9df2af041d3722cbdea28fa3d21f40b4921c
comprehensibility,アリ,Xに浸る,1,822464670148322945198b08c6dd3d3fc08dc5367335117dc036d1e77ca4b064
comprehensibility,アリ,Xに浸る,1,389182098519b9a0916e51211b01d577037f3dadf291d19526cddbdfb669ded6
comprehensibility,アリ,Xに浸る,0,a77e2862e4443aeb98bec2d1449ad394ec91095469cb6c2f522ef559a306d111
comprehensibility,アリ,Xが淀む,0,f620022093bf2d0bb888da6b66f7e33cf75db6f3f1a9c7b966afcdb5e0838512
comprehensibility,アリ,Xが淀む,1,822464670148322945198b08c6dd3d3fc08dc5367335117dc036d1e77ca4b064
comprehensibility,アリ,Xが淀む,0,389182098519b9a0916e51211b01d577037f3dadf291d19526cddbdfb669ded6
comprehensibility,アリ,Xが淀む,1,0a25f25d8e6a6382015ae106190332737c9edabb9b706cc144759352aedc7ddf
comprehensibility,アリ,Xが淀む,0,a77e2862e4443aeb98bec2d1449ad394ec91095469cb6c2f522ef559a306d111
comprehensibility,アリ,Xが淀む,0,b3f75f27cc642faa28f086b304f23904be5f0cbd57f21f6bb7502130cbfd9555
comprehensibility,アリ,Xが淀む,0,ad39068a9c7a770af17e8eac1a11cbccc909f4fc9d2227eeef1c2790f9c88bc7
comprehensibility,アリ,Xが淀む,1,ee1325372c1ae4c4279ecd629d2c9df2af041d3722cbdea28fa3d21f40b4921c
comprehensibility,アリ,Xが淀む,0,76cc4e2eb02ad3f7a9c2b3ab977574ed4b17f3369fa955f4380c7fe8ee8f46d8
comprehensibility,アリ,Xが淀む,0,d96bd6b8487a69b9b290a831e636ab15be7e2aa1295de911cd7053e19941969a
comprehensibility,アリ,Xが渦巻く,2,96f6b0f4c07aea1a759d2d8063abcac61db5b269b189cf1c70c048b30819e428
comprehensibility,アリ,Xが渦巻く,1,8791d8a43a3720f9ab9cd1c911bf83f0cae097ce1d6e51ac3be1b5d501afbf12
comprehensibility,アリ,Xが渦巻く,0,5465d59403bc309c58d94eb2617833efcaabe581e70af4a5a5ca639e70308edb
comprehensibility,アリ,Xが渦巻く,3,f9f9b7b4257b102d1d7a8087a91832cd42b7066775d87030f4176273cd8db167
comprehensibility,アリ,Xが渦巻く,3,ff2e85b7caff5ef5dddd70d4c229145dfd3f65de65675edd05392933b497fd95
comprehensibility,アリ,Xが渦巻く,4,88548422b6d3bef3797bf26de08c6f8fb879601c6c43936fedd2d4e072115643
comprehensibility,アリ,Xが渦巻く,3,949ac2e5e87f9b0a104991b24ec4e369c3885e0bbfcef4f25b7f34c8c5bd5840
comprehensibility,アリ,Xが渦巻く,0,c2f36701d5adebaad133dfce8b46b7de22072d3fa8fd2ad16c0d41af105f5de8
comprehensibility,アリ,Xが渦巻く,3,e3652386104e2bf60d57d32e187ddfaf13f23872416764d16d3854ad9c49d598
